epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,160.308,0.71253,0.70935,0.88079,0.86496,0.98618,0.995,0.75165,0.98143,0.75008,0.96142,0.000438703,0.000438703,0.000438703
107,161.684,0.72318,0.77925,0.95825,0.86496,0.98618,0.995,0.75165,0.98143,0.75008,0.96142,0.000429272,0.000429272,0.000429272
108,163.138,0.68671,0.67925,0.89511,0.87963,0.98386,0.995,0.72607,0.98177,0.7532,0.97471,0.00041984,0.00041984,0.00041984
109,164.536,0.64871,0.65792,0.84195,0.87963,0.98386,0.995,0.72607,0.98177,0.7532,0.97471,0.000410409,0.000410409,0.000410409
110,165.961,0.7745,0.71998,0.87636,0.87963,0.98386,0.995,0.72607,0.98177,0.7532,0.97471,0.000400977,0.000400977,0.000400977
111,167.367,0.76882,0.81227,0.87211,0.90016,0.97474,0.995,0.73647,0.98357,0.73604,0.97511,0.000391546,0.000391546,0.000391546
112,169.114,0.72956,0.80277,0.92652,0.90016,0.97474,0.995,0.73647,0.98357,0.73604,0.97511,0.000382115,0.000382115,0.000382115
113,170.538,0.71419,0.7036,0.84118,0.92785,0.95657,0.995,0.71506,1.05581,0.75101,0.98388,0.000372683,0.000372683,0.000372683
114,171.944,0.67127,0.75936,0.89629,0.92785,0.95657,0.995,0.71506,1.05581,0.75101,0.98388,0.000363252,0.000363252,0.000363252
115,173.304,0.76328,0.67348,0.88269,0.92785,0.95657,0.995,0.71506,1.05581,0.75101,0.98388,0.00035382,0.00035382,0.00035382
116,174.834,0.65962,0.69049,0.88293,0.94365,0.94446,0.995,0.7211,1.10543,0.75705,0.99044,0.000344389,0.000344389,0.000344389
117,176.334,0.61737,0.61891,0.85622,0.94365,0.94446,0.995,0.7211,1.10543,0.75705,0.99044,0.000334958,0.000334958,0.000334958
118,177.702,0.67199,0.67728,0.87573,0.94365,0.94446,0.995,0.7211,1.10543,0.75705,0.99044,0.000325526,0.000325526,0.000325526
119,179.097,0.69546,0.64258,0.88882,0.94888,0.93639,0.995,0.71002,1.11474,0.74207,0.99165,0.000316095,0.000316095,0.000316095
120,180.502,0.68011,0.672,0.87342,0.94888,0.93639,0.995,0.71002,1.11474,0.74207,0.99165,0.000306663,0.000306663,0.000306663
121,181.892,0.68922,0.68129,0.87073,0.95183,0.92786,0.995,0.71822,1.10157,0.72864,0.99192,0.000297232,0.000297232,0.000297232
122,183.293,0.64447,0.63941,0.87961,0.95183,0.92786,0.995,0.71822,1.10157,0.72864,0.99192,0.000287801,0.000287801,0.000287801
123,184.665,0.57862,0.66779,0.89345,0.95183,0.92786,0.995,0.71822,1.10157,0.72864,0.99192,0.000278369,0.000278369,0.000278369
124,186.038,0.64512,0.66687,0.88324,0.94565,0.92712,0.995,0.70998,1.08308,0.7138,0.99329,0.000268938,0.000268938,0.000268938
125,187.414,0.60939,0.63016,0.8325,0.94565,0.92712,0.995,0.70998,1.08308,0.7138,0.99329,0.000259506,0.000259506,0.000259506
126,188.778,0.62024,0.63406,0.83819,0.94565,0.92712,0.995,0.70998,1.08308,0.7138,0.99329,0.000250075,0.000250075,0.000250075
127,190.193,0.66991,0.62604,0.87854,0.9471,0.92516,0.995,0.71825,1.05987,0.69938,0.98818,0.000240644,0.000240644,0.000240644
128,191.557,0.64895,0.60616,0.87474,0.9471,0.92516,0.995,0.71825,1.05987,0.69938,0.98818,0.000231212,0.000231212,0.000231212
129,192.945,0.69243,0.93002,0.90781,0.94581,0.92521,0.995,0.72253,1.03975,0.69407,0.98205,0.000221781,0.000221781,0.000221781
130,194.356,0.67528,0.74024,0.91261,0.94581,0.92521,0.995,0.72253,1.03975,0.69407,0.98205,0.000212349,0.000212349,0.000212349
131,195.711,0.58228,0.65143,0.89939,0.94581,0.92521,0.995,0.72253,1.03975,0.69407,0.98205,0.000202918,0.000202918,0.000202918
132,197.091,0.58472,0.61607,0.87786,0.94539,0.9254,0.995,0.735,1.01408,0.69241,0.97012,0.000193487,0.000193487,0.000193487
133,198.491,0.62133,0.71122,0.87904,0.94539,0.9254,0.995,0.735,1.01408,0.69241,0.97012,0.000184055,0.000184055,0.000184055
134,199.904,0.61021,0.63581,0.84034,0.94539,0.9254,0.995,0.735,1.01408,0.69241,0.97012,0.000174624,0.000174624,0.000174624
135,201.305,0.60049,0.6583,0.85541,0.94821,0.92528,0.995,0.735,1.00961,0.69196,0.9665,0.000165192,0.000165192,0.000165192
136,203.01,0.62801,0.69936,0.86266,0.94821,0.92528,0.995,0.735,1.00961,0.69196,0.9665,0.000155761,0.000155761,0.000155761
137,204.415,0.6721,0.64178,0.85052,0.95056,0.92518,0.995,0.735,0.9953,0.69509,0.9608,0.00014633,0.00014633,0.00014633
138,205.943,0.69467,0.65749,0.88989,0.95056,0.92518,0.995,0.735,0.9953,0.69509,0.9608,0.000136898,0.000136898,0.000136898
139,207.302,0.55361,0.62686,0.8056,0.95056,0.92518,0.995,0.735,0.9953,0.69509,0.9608,0.000127467,0.000127467,0.000127467
140,209.251,0.60705,0.59524,0.86677,0.94717,0.92752,0.995,0.74053,0.9776,0.6968,0.95468,0.000118035,0.000118035,0.000118035
141,210.646,0.55358,0.67859,0.861,0.94717,0.92752,0.995,0.74053,0.9776,0.6968,0.95468,0.000108604,0.000108604,0.000108604
142,211.992,0.87736,0.98305,0.90073,0.94717,0.92752,0.995,0.74053,0.9776,0.6968,0.95468,9.91726e-05,9.91726e-05,9.91726e-05
143,213.362,0.60153,0.70111,0.84456,0.93478,0.93713,0.995,0.74053,0.96913,0.70691,0.94762,8.97412e-05,8.97412e-05,8.97412e-05
144,214.694,0.55837,0.70564,0.84728,0.93478,0.93713,0.995,0.74053,0.96913,0.70691,0.94762,8.03098e-05,8.03098e-05,8.03098e-05
145,216.053,0.67678,0.73074,0.85131,0.91764,0.95171,0.995,0.74053,0.97221,0.7167,0.94599,7.08784e-05,7.08784e-05,7.08784e-05
146,217.398,0.62342,0.72417,0.8143,0.91764,0.95171,0.995,0.74053,0.97221,0.7167,0.94599,6.1447e-05,6.1447e-05,6.1447e-05
147,218.796,0.58263,0.6862,0.85124,0.91764,0.95171,0.995,0.74053,0.97221,0.7167,0.94599,5.20156e-05,5.20156e-05,5.20156e-05
148,220.147,0.56407,0.69176,0.85352,0.91574,0.9565,0.995,0.74743,0.98053,0.72886,0.94632,4.25842e-05,4.25842e-05,4.25842e-05
149,221.528,0.66689,0.71521,0.8912,0.91574,0.9565,0.995,0.74743,0.98053,0.72886,0.94632,3.31528e-05,3.31528e-05,3.31528e-05
150,222.877,0.47392,0.64362,0.83307,0.91574,0.9565,0.995,0.74743,0.98053,0.72886,0.94632,2.37214e-05,2.37214e-05,2.37214e-05
